行命名,LevelNum,X,Y,ActorType
1,2,0,0,Wall
2,2,1,0,Wall
3,2,2,0,Wall
4,2,3,0,Wall
5,2,4,0,Wall
6,2,5,0,Wall
7,2,6,0,Wall
8,2,7,0,Wall
9,2,8,0,Wall
10,2,9,0,Wall
11,2,10,0,Empty
12,2,11,0,Empty
13,2,12,0,Empty
14,2,13,0,Empty
15,2,14,0,Empty
16,2,15,0,Empty
17,2,16,0,Empty
18,2,17,0,Empty
19,2,18,0,Empty
20,2,19,0,Empty
21,2,0,1,Wall
22,2,1,1,Empty
23,2,2,1,Empty
24,2,3,1,Wall
25,2,4,1,Wall
26,2,5,1,Goal
27,2,6,1,Empty
28,2,7,1,Empty
29,2,8,1,Goal
30,2,9,1,Wall
31,2,10,1,Empty
32,2,11,1,Empty
33,2,12,1,Empty
34,2,13,1,Empty
35,2,14,1,Empty
36,2,15,1,Empty
37,2,16,1,Empty
38,2,17,1,Empty
39,2,18,1,Empty
40,2,19,1,Empty
41,2,0,2,Wall
42,2,1,2,Player
43,2,2,2,Empty
44,2,3,2,Empty
45,2,4,2,Empty
46,2,5,2,Empty
47,2,6,2,Box
48,2,7,2,Box
49,2,8,2,Box
50,2,9,2,Wall
51,2,10,2,Empty
52,2,11,2,Empty
53,2,12,2,Empty
54,2,13,2,Empty
55,2,14,2,Empty
56,2,15,2,Empty
57,2,16,2,Empty
58,2,17,2,Empty
59,2,18,2,Empty
60,2,19,2,Empty
61,2,0,3,Wall
62,2,1,3,Empty
63,2,2,3,Empty
64,2,3,3,Wall
65,2,4,3,Wall
66,2,5,3,Empty
67,2,6,3,Empty
68,2,7,3,Empty
69,2,8,3,Goal
70,2,9,3,Wall
71,2,10,3,Empty
72,2,11,3,Empty
73,2,12,3,Empty
74,2,13,3,Empty
75,2,14,3,Empty
76,2,15,3,Empty
77,2,16,3,Empty
78,2,17,3,Empty
79,2,18,3,Empty
80,2,19,3,Empty
81,2,0,4,Wall
82,2,1,4,Wall
83,2,2,4,Wall
84,2,3,4,Wall
85,2,4,4,Wall
86,2,5,4,Wall
87,2,6,4,Wall
88,2,7,4,Wall
89,2,8,4,Wall
90,2,9,4,Wall
91,2,10,4,Empty
92,2,11,4,Empty
93,2,12,4,Empty
94,2,13,4,Empty
95,2,14,4,Empty
96,2,15,4,Empty
97,2,16,4,Empty
98,2,17,4,Empty
99,2,18,4,Empty
100,2,19,4,Empty
101,2,0,5,Empty
102,2,1,5,Empty
103,2,2,5,Empty
104,2,3,5,Empty
105,2,4,5,Empty
106,2,5,5,Empty
107,2,6,5,Empty
108,2,7,5,Empty
109,2,8,5,Empty
110,2,9,5,Empty
111,2,10,5,Empty
112,2,11,5,Empty
113,2,12,5,Empty
114,2,13,5,Empty
115,2,14,5,Empty
116,2,15,5,Empty
117,2,16,5,Empty
118,2,17,5,Empty
119,2,18,5,Empty
120,2,19,5,Empty
121,2,0,6,Empty
122,2,1,6,Empty
123,2,2,6,Empty
124,2,3,6,Empty
125,2,4,6,Empty
126,2,5,6,Empty
127,2,6,6,Empty
128,2,7,6,Empty
129,2,8,6,Empty
130,2,9,6,Empty
131,2,10,6,Empty
132,2,11,6,Empty
133,2,12,6,Empty
134,2,13,6,Empty
135,2,14,6,Empty
136,2,15,6,Empty
137,2,16,6,Empty
138,2,17,6,Empty
139,2,18,6,Empty
140,2,19,6,Empty
141,2,0,7,Empty
142,2,1,7,Empty
143,2,2,7,Empty
144,2,3,7,Empty
145,2,4,7,Empty
146,2,5,7,Empty
147,2,6,7,Empty
148,2,7,7,Empty
149,2,8,7,Empty
150,2,9,7,Empty
151,2,10,7,Empty
152,2,11,7,Empty
153,2,12,7,Empty
154,2,13,7,Empty
155,2,14,7,Empty
156,2,15,7,Empty
157,2,16,7,Empty
158,2,17,7,Empty
159,2,18,7,Empty
160,2,19,7,Empty
161,2,0,8,Empty
162,2,1,8,Empty
163,2,2,8,Empty
164,2,3,8,Empty
165,2,4,8,Empty
166,2,5,8,Empty
167,2,6,8,Empty
168,2,7,8,Empty
169,2,8,8,Empty
170,2,9,8,Empty
171,2,10,8,Empty
172,2,11,8,Empty
173,2,12,8,Empty
174,2,13,8,Empty
175,2,14,8,Empty
176,2,15,8,Empty
177,2,16,8,Empty
178,2,17,8,Empty
179,2,18,8,Empty
180,2,19,8,Empty
181,2,0,9,Empty
182,2,1,9,Empty
183,2,2,9,Empty
184,2,3,9,Empty
185,2,4,9,Empty
186,2,5,9,Empty
187,2,6,9,Empty
188,2,7,9,Empty
189,2,8,9,Empty
190,2,9,9,Empty
191,2,10,9,Empty
192,2,11,9,Empty
193,2,12,9,Empty
194,2,13,9,Empty
195,2,14,9,Empty
196,2,15,9,Empty
197,2,16,9,Empty
198,2,17,9,Empty
199,2,18,9,Empty
200,2,19,9,Empty
201,2,0,10,Empty
202,2,1,10,Empty
203,2,2,10,Empty
204,2,3,10,Empty
205,2,4,10,Empty
206,2,5,10,Empty
207,2,6,10,Empty
208,2,7,10,Empty
209,2,8,10,Empty
210,2,9,10,Empty
211,2,10,10,Empty
