行命名,LevelNum,X,Y,ActorType
1,1,0,0,Wall
2,1,1,0,Wall
3,1,2,0,Wall
4,1,3,0,Wall
5,1,4,0,Wall
6,1,5,0,Wall
7,1,6,0,Wall
8,1,7,0,Wall
9,1,8,0,Empty
10,1,9,0,Empty
11,1,10,0,Empty
12,1,11,0,Empty
13,1,12,0,Empty
14,1,13,0,Empty
15,1,14,0,Empty
16,1,15,0,Empty
17,1,16,0,Empty
18,1,17,0,Empty
19,1,18,0,Empty
20,1,19,0,Empty
21,1,0,1,Wall
22,1,1,1,Empty
23,1,2,1,Empty
24,1,3,1,Empty
25,1,4,1,Empty
26,1,5,1,Empty
27,1,6,1,Empty
28,1,7,1,Wall
29,1,8,1,Empty
30,1,9,1,Empty
31,1,10,1,Empty
32,1,11,1,Empty
33,1,12,1,Empty
34,1,13,1,Empty
35,1,14,1,Empty
36,1,15,1,Empty
37,1,16,1,Empty
38,1,17,1,Empty
39,1,18,1,Empty
40,1,19,1,Empty
41,1,0,2,Wall
42,1,1,2,Empty
43,1,2,2,Player
44,1,3,2,Empty
45,1,4,2,Wall
46,1,5,2,Wall
47,1,6,2,Box
48,1,7,2,Wall
49,1,8,2,Empty
50,1,9,2,Empty
51,1,10,2,Empty
52,1,11,2,Empty
53,1,12,2,Empty
54,1,13,2,Empty
55,1,14,2,Empty
56,1,15,2,Empty
57,1,16,2,Empty
58,1,17,2,Empty
59,1,18,2,Empty
60,1,19,2,Empty
61,1,0,3,Wall
62,1,1,3,Empty
63,1,2,3,Empty
64,1,3,3,Empty
65,1,4,3,Wall
66,1,5,3,Wall
67,1,6,3,Empty
68,1,7,3,Wall
69,1,8,3,Empty
70,1,9,3,Empty
71,1,10,3,Empty
72,1,11,3,Empty
73,1,12,3,Empty
74,1,13,3,Empty
75,1,14,3,Empty
76,1,15,3,Empty
77,1,16,3,Empty
78,1,17,3,Empty
79,1,18,3,Empty
80,1,19,3,Empty
81,1,0,4,Wall
82,1,1,4,Wall
83,1,2,4,Wall
84,1,3,4,Wall
85,1,4,4,Wall
86,1,5,4,Wall
87,1,6,4,Empty
88,1,7,4,Wall
89,1,8,4,Empty
90,1,9,4,Empty
91,1,10,4,Empty
92,1,11,4,Empty
93,1,12,4,Empty
94,1,13,4,Empty
95,1,14,4,Empty
96,1,15,4,Empty
97,1,16,4,Empty
98,1,17,4,Empty
99,1,18,4,Empty
100,1,19,4,Empty
101,1,0,5,Empty
102,1,1,5,Empty
103,1,2,5,Empty
104,1,3,5,Empty
105,1,4,5,Empty
106,1,5,5,Wall
107,1,6,5,Empty
108,1,7,5,Wall
109,1,8,5,Empty
110,1,9,5,Empty
111,1,10,5,Empty
112,1,11,5,Empty
113,1,12,5,Empty
114,1,13,5,Empty
115,1,14,5,Empty
116,1,15,5,Empty
117,1,16,5,Empty
118,1,17,5,Empty
119,1,18,5,Empty
120,1,19,5,Empty
121,1,0,6,Empty
122,1,1,6,Empty
123,1,2,6,Empty
124,1,3,6,Empty
125,1,4,6,Empty
126,1,5,6,Wall
127,1,6,6,Goal
128,1,7,6,Wall
129,1,8,6,Empty
130,1,9,6,Empty
131,1,10,6,Empty
132,1,11,6,Empty
133,1,12,6,Empty
134,1,13,6,Empty
135,1,14,6,Empty
136,1,15,6,Empty
137,1,16,6,Empty
138,1,17,6,Empty
139,1,18,6,Empty
140,1,19,6,Empty
141,1,0,7,Empty
142,1,1,7,Empty
143,1,2,7,Empty
144,1,3,7,Empty
145,1,4,7,Empty
146,1,5,7,Wall
147,1,6,7,Wall
148,1,7,7,Wall
149,1,8,7,Empty
150,1,9,7,Empty
151,1,10,7,Empty
152,1,11,7,Empty
153,1,12,7,Empty
154,1,13,7,Empty
155,1,14,7,Empty
156,1,15,7,Empty
157,1,16,7,Empty
158,1,17,7,Empty
159,1,18,7,Empty
160,1,19,7,Empty
161,1,0,8,Empty
162,1,1,8,Empty
163,1,2,8,Empty
164,1,3,8,Empty
165,1,4,8,Empty
166,1,5,8,Empty
167,1,6,8,Empty
168,1,7,8,Empty
169,1,8,8,Empty
170,1,9,8,Empty
171,1,10,8,Empty
172,1,11,8,Empty
173,1,12,8,Empty
174,1,13,8,Empty
175,1,14,8,Empty
176,1,15,8,Empty
177,1,16,8,Empty
178,1,17,8,Empty
179,1,18,8,Empty
180,1,19,8,Empty
181,1,0,9,Empty
182,1,1,9,Empty
183,1,2,9,Empty
184,1,3,9,Empty
185,1,4,9,Empty
186,1,5,9,Empty
187,1,6,9,Empty
188,1,7,9,Empty
189,1,8,9,Empty
190,1,9,9,Empty
191,1,10,9,Empty
192,1,11,9,Empty
193,1,12,9,Empty
194,1,13,9,Empty
195,1,14,9,Empty
196,1,15,9,Empty
197,1,16,9,Empty
198,1,17,9,Empty
199,1,18,9,Empty
